Versuchseinstellung;Wert
VERSION;V2_3_156
DoCircles;0
MultipleTargets;0
Gridsized;0
FbTouchColor;1
FbTouchSound;1
FbTouchColorAll;0
NextFrameOnTouch;1
rounds;100
DeviceMouse;1
DeviceTouch;0
DevicePen;0
DeviceType;asus slate
UserName;Julian1
UserAge;25
UserRemark;
UserGender;0
COMPUTERNAME;ZENBOOK
USERNAME;Julian
OS;Windows_NT
Timestamp;2018-03-16_09.39.37
DoGraphicsOutput;1

Fensterfläche;Objektfläche;Kreis;Start_x;Start_y;x_min;x_max;y_min;y_max;BoundingBox;Dreiecksfläche_K1;Dreiecksfläche_K2;Fitts_Width;Fitts_Distance;Zeit (mS)
1862352;6424;0;1707;465;832;920;172;245;256375;44829,5;44829,5;92,3472;869,833;485;
1862352;2838;0;899;219;1494;1560;437;480;172521;22824,5;23670,6;70,9366;671,941;437;
1862352;6630;0;1511;458;1285;1363;483;568;24860;13895;20313,3;82,2192;198,64;391;
1862352;7470;0;1298;489;1197;1287;367;450;12322;9681,5;11326,9;100,439;98,4733;437;
1862352;1625;0;1251;446;131;156;313;378;148960;38062,5;40872,7;24,3311;1112,59;1266;
1862352;3608;0;145;335;690;778;656;697;229146;28904,5;46702,2;80,6226;680,589;687;
1862352;4830;0;771;666;1242;1403;338;368;207296;35884;60617,7;61,7738;633,696;610;
1862352;9280;0;1290;365;716;876;497;555;109060;31846;33471,3;168,238;519,574;640;
1862352;1152;0;867;503;1661;1697;376;408;105410;15566;20213,2;36,2215;819,552;703;
1862352;18984;0;1696;381;202;370;332;445;168822;93903;100698;168,012;1410,02;625;
1862352;3580;0;333;381;1376;1555;634;654;333606;36653,5;58205,9;90,2441;1162,15;875;
1862352;14196;0;1515;639;1329;1485;691;782;26598;19617;30664,9;134,536;145,165;344;
1862352;19224;0;1383;695;759;937;205;313;305760;77306;82909,5;172,105;690,16;391;
1862352;5616;0;920;295;324;480;82;118;126948;27342;37120,1;102,528;553,488;718;
1862352;3956;0;412;117;801;893;82;125;20683;12319,5;16393,1;92,0869;435,225;782;
1862352;12100;0;805;114;483;604;554;654;173880;48770;61996,1;113,649;555,647;406;
1862352;3538;0;507;599;1227;1288;317;375;220242;31250;50752,1;63,2456;791,523;812;
1862352;7812;0;1231;365;1428;1552;742;805;141240;37391,5;59145,4;73,7835;483,265;609;
1862352;2024;0;1467;747;10;32;508;600;348223;69651;102269;22,3607;1458,82;1313;
1862352;16695;0;11;537;1450;1609;25;130;818176;124599;182610;164,56;1586,17;984;
1862352;6771;0;1460;110;996;1057;86;197;51504;29137,5;32013,6;60,1332;435,106;500;
1862352;2499;0;1049;163;588;637;261;312;68689;15406;17868,7;49,4773;453,98;547;
1862352;14152;0;620;272;1092;1214;477;593;190674;54033;63576,2;135,956;594,355;579;
1862352;1728;0;1098;521;386;440;478;510;30616;12553;23304,9;54,1479;685,532;703;
1862352;989;0;437;507;1422;1465;28;51;492412;22120,5;41858,5;45,6946;1109,53;985;
1862352;15345;0;1438;44;1433;1598;194;287;40095;27720;41734,4;99,5389;210,583;672;
1862352;7869;0;1467;195;1488;1617;73;134;18300;12444;13970,2;80,7217;125,256;468;
1862352;4346;0;1498;129;1338;1379;235;341;33920;12826;12906,1;59,4643;211,851;360;
1862352;10464;0;1374;237;867;963;73;182;83148;35503,5;39548,8;98,4886;471,997;890;
1862352;1419;0;958;162;471;504;448;491;160223;15899;26581,1;37,7359;562,219;672;
1862352;7336;0;472;473;1562;1693;715;771;363858;53707;84790,9;133,881;1186,14;953;
1862352;10656;0;1641;764;113;209;207;318;851096;111540;116335;101,843;1562,82;813;
1862352;9600;0;138;313;729;879;137;201;130416;36912;68319,9;153,375;681,39;531;
1862352;8304;0;736;197;379;552;636;684;173859;50693,5;67561,1;55,5698;536,479;687;
1862352;12320;0;495;641;732;886;751;831;74290;30270;42777,1;170,857;347,989;531;
1862352;3115;0;734;765;1246;1281;13;102;411344;37501,5;51644,3;55,6058;883,801;906;
1862352;10824;0;1278;48;582;746;533;599;383496;68150;73256,3;102,176;803,318;844;
1862352;8892;0;728;538;1311;1425;745;823;198645;43428;71889,3;122,197;685,65;375;
1862352;840;0;1330;791;131;161;157;185;760166;26296;30137,6;34;1336,51;1125;
1862352;15600;0;145;184;316;472;17;117;54609;29376;46743,8;172,662;275,118;438;
1862352;4040;0;407;115;762;863;407;447;151392;25886;32853,4;65,6049;511,243;875;
1862352;4590;0;829;446;784;874;330;381;10440;7515;10160,3;50;91;312;
1862352;17000;0;834;380;1272;1442;436;536;94848;43660;45515,5;173,77;533,634;406;
1862352;10530;0;1344;437;182;299;532;622;214970;63112,5;72732,2;116,842;1112,84;657;
1862352;5439;0;290;613;1439;1488;199;310;495972;76632;83414,1;50;1226,71;640;
1862352;14523;0;1443;280;102;243;136;239;193104;79213,5;110078;142,506;1274,4;406;
1862352;2058;0;169;209;623;644;471;569;171000;27055;45808,9;24,4131;558,585;938;
1862352;5936;0;637;512;404;457;4;116;118364;26510;37960,2;123,483;497,145;672;
1862352;1419;0;446;115;1113;1146;427;470;248500;20907,5;33219,6;35,7771;759,854;735;
1862352;5662;0;1114;441;814;963;97;135;103200;31328;42613,4;46,0435;395,855;734;
1862352;9424;0;930;134;1182;1334;196;258;50096;21948;25357,3;158,24;340,93;312;
1862352;8308;0;1185;221;1058;1192;300;362;18894;13601;14822;70,7107;125,3;438;
1862352;4977;0;1121;301;1160;1239;287;350;7434;6205,5;6344,5;80,05;79,8311;344;
1862352;13054;0;1168;321;1006;1128;346;453;21384;16719;17156,8;155,242;127,613;563;
